Base,Base wt %,Support,Support wt %,Yield_H2CO2_2.0,Yield_H2CO2_3.0,Yield_H2CO2_4.0,Max_Yield_AllR,Min_Yield_AllR
Cu,21.69358585858586,CeO2-ZrO2,65.0,10.387462661999995,10.387462661999995,10.387462661999995,10.387462661999995,10.387462661999995
Zr,20.0,CeO2-ZrO2,65.0,10.253578221239472,10.253578221239472,10.253578221239472,10.253578221239472,10.253578221239472
Zn,21.70344827586207,CeO2-ZrO2,65.0,10.253578221239472,10.253578221239472,10.253578221239472,10.253578221239472,10.253578221239472
NiGa,20.0,CeO2-ZrO2,65.0,10.244995085239474,10.244995085239474,10.244995085239474,10.244995085239474,10.244995085239474
Zn,21.70344827586207,ZnO - Al2O3,66.0,10.129839746725708,10.129839746725708,10.107781950525707,10.129839746725708,10.107781950525707
Zr,20.0,ZnO - Al2O3,66.0,10.129839746725708,10.129839746725708,10.107781950525707,10.129839746725708,10.107781950525707
Cu,21.69358585858586,ZnO - Al2O3,66.0,10.12134055688623,10.12134055688623,10.09928276068623,10.12134055688623,10.09928276068623
NiGa,20.0,ZnO - Al2O3,66.0,10.040898176725706,10.040898176725706,10.018840380525706,10.040898176725706,10.018840380525706
Cu,21.69358585858586,Al2O3,56.67370689655172,9.694260681999994,9.694260681999994,9.694260681999994,9.694260681999994,9.694260681999994
Zr,20.0,Al2O3,56.67370689655172,9.584591331239473,9.584591331239473,9.584591331239473,9.584591331239473,9.584591331239473
Zn,21.70344827586207,Al2O3,56.67370689655172,9.584591331239473,9.584591331239473,9.584591331239473,9.584591331239473,9.584591331239473
NiGa,20.0,Al2O3,56.67370689655172,9.563378435239471,9.563378435239471,9.563378435239471,9.563378435239471,9.563378435239471
Zr,20.0,ZnO,57.98146341463415,9.484023516725706,9.484023516725706,9.461965720525708,9.484023516725706,9.461965720525708
Zn,21.70344827586207,ZnO,57.98146341463415,9.484023516725706,9.484023516725706,9.461965720525708,9.484023516725706,9.461965720525708
Cu,21.69358585858586,ZnO,57.98146341463415,9.48037476688623,9.48037476688623,9.45831697068623,9.48037476688623,9.45831697068623
Co,7.5,CeO2-ZrO2,65.0,9.397749860308886,9.397749860308886,9.426374733828888,9.426374733828888,9.397749860308886
NiGa,20.0,ZnO,57.98146341463415,9.399932386725707,9.399932386725707,9.377874590525709,9.399932386725707,9.377874590525709
Ag,8.333333333333334,CeO2-ZrO2,65.0,9.320638260308888,9.320638260308888,9.349263133828888,9.349263133828888,9.320638260308888
Ni,9.7,CeO2-ZrO2,65.0,9.201481159914591,9.201481159914591,9.228631089434591,9.228631089434591,9.201481159914591
Co,7.5,ZnO - Al2O3,66.0,9.10051134636179,9.100511346361788,9.097346713815122,9.10051134636179,9.097346713815122
Ag,8.333333333333334,ZnO - Al2O3,66.0,9.030278842695122,9.030278842695122,9.029955590015124,9.030278842695122,9.029955590015124
Ni,9.7,ZnO - Al2O3,66.0,9.00000858823416,9.00000858823416,9.000289760220827,9.000289760220827,9.00000858823416
Cu,21.69358585858586,CuO,75.0,8.945176047039984,8.945176047039984,8.941951108959984,8.945176047039984,8.941951108959984
Zr,20.0,CuO,75.0,8.892679016504962,8.892679016504962,8.874415926504962,8.892679016504962,8.874415926504962
Zn,21.70344827586207,CuO,75.0,8.892679016504962,8.892679016504962,8.874415926504962,8.892679016504962,8.874415926504962
Zn,21.70344827586207,ZrO2,75.81729729729729,8.890505564190958,8.890505564190958,8.868447767990958,8.890505564190958,8.868447767990958
Zr,20.0,ZrO2,75.81729729729729,8.890505564190958,8.890505564190958,8.868447767990958,8.890505564190958,8.868447767990958
Co,7.5,Al2O3,56.67370689655172,8.84482670030889,8.84482670030889,8.87345157382889,8.87345157382889,8.84482670030889
NiGa,20.0,CuO,75.0,8.86766011050496,8.86766011050496,8.849397020504961,8.86766011050496,8.849397020504961
Ir,5.333333333333333,CeO2-ZrO2,65.0,8.848837024698593,8.848837024698593,8.847056518698594,8.848837024698593,8.847056518698594
Cu,21.69358585858586,ZrO2,75.81729729729729,8.84854187812598,8.84854187812598,8.826484081925981,8.84854187812598,8.826484081925981
NiGa,20.0,ZrO2,75.81729729729729,8.801563994190959,8.801563994190957,8.779506197990957,8.801563994190959,8.779506197990957
Ag,8.333333333333334,Al2O3,56.67370689655172,8.744544440308891,8.744544440308891,8.773169313828891,8.773169313828891,8.744544440308891
Ir,5.333333333333333,ZnO - Al2O3,66.0,8.691546055687493,8.691546055687493,8.668239410420828,8.691546055687493,8.668239410420828
Ni,9.7,Al2O3,56.67370689655172,8.636972669914593,8.636972669914593,8.664122599434593,8.664122599434593,8.636972669914593
Co,7.5,ZnO,57.98146341463415,8.59982437636179,8.59982437636179,8.596659743815124,8.59982437636179,8.596659743815124
Ag,8.333333333333334,ZnO,57.98146341463415,8.506421212695123,8.506421212695125,8.506097960015124,8.506421212695125,8.506097960015124
Ni,9.7,ZnO,57.98146341463415,8.476150958234163,8.476150958234163,8.476432130220829,8.476432130220829,8.476150958234163
Ir,5.333333333333333,Al2O3,56.67370689655172,8.328104824698594,8.328104824698594,8.326324318698594,8.328104824698594,8.326324318698594
Ir,5.333333333333333,ZnO,57.98146341463415,8.211464715687494,8.211464715687494,8.188158070420828,8.211464715687494,8.188158070420828
Co,7.5,CuO,75.0,8.116195152317562,8.116195152317562,8.128184897069564,8.128184897069564,8.116195152317562
Ag,8.333333333333334,CuO,75.0,8.001332812317564,8.001332812317564,8.026732747757565,8.026732747757565,8.001332812317564
Co,7.5,ZrO2,75.81729729729729,7.988444574570225,7.988444574570225,7.985279942023559,7.988444574570225,7.985279942023559
Ni,9.7,CuO,75.0,7.951237653165839,7.951237653165838,7.960124492685838,7.960124492685838,7.951237653165838
Ni,9.7,ZrO2,75.81729729729729,7.887765873685168,7.887765873685168,7.8880470456718355,7.8880470456718355,7.887765873685168
Ag,8.333333333333334,ZrO2,75.81729729729729,7.880461330903558,7.880461330903558,7.88013807822356,7.880461330903558,7.88013807822356
Ir,5.333333333333333,CuO,75.0,7.737366966107269,7.737366966107269,7.71895133133927,7.737366966107269,7.71895133133927
Ir,5.333333333333333,ZrO2,75.81729729729729,7.718076789295931,7.718076789295932,7.694770144029266,7.718076789295932,7.694770144029266
Zr,20.0,SBA-15,82.76486486486488,7.228131017997854,7.228131017997852,7.409920043875555,7.409920043875555,7.228131017997852
Zn,21.70344827586207,SBA-15,82.76486486486488,7.228131017997852,7.228131017997852,7.409920043875554,7.409920043875554,7.228131017997852
Zr,20.0,rGO,83.75,7.261241969997854,7.261241969997854,7.365564497852164,7.365564497852164,7.261241969997854
Zn,21.70344827586207,rGO,83.75,7.261241969997854,7.261241969997854,7.365564497852164,7.365564497852164,7.261241969997854
Mg,0.7000000000000001,CeO2-ZrO2,65.0,7.203711628642798,7.203711628642798,7.343229688642797,7.343229688642797,7.203711628642798
NiGa,20.0,SBA-15,82.76486486486488,7.12821701413709,7.12821701413709,7.310006040014793,7.310006040014793,7.12821701413709
Zr,20.0,MnO,80.0,7.12707938988957,7.12707938988957,7.30886841576727,7.30886841576727,7.12707938988957
Zn,21.70344827586207,MnO,80.0,7.12707938988957,7.12707938988957,7.30886841576727,7.30886841576727,7.12707938988957
NiGa,20.0,rGO,83.75,7.16132796613709,7.16132796613709,7.265650493991401,7.265650493991401,7.16132796613709
Cu,21.69358585858586,SBA-15,82.76486486486488,7.08286560647594,7.082865606475941,7.234232357218556,7.234232357218556,7.08286560647594
Zn,21.70344827586207,ZrO2-CeO2,80.0,7.12116746136957,7.12116746136957,7.225489989223883,7.225489989223883,7.12116746136957
Zr,20.0,ZrO2-CeO2,80.0,7.12116746136957,7.12116746136957,7.22548998922388,7.22548998922388,7.12116746136957
NiGa,20.0,MnO,80.0,7.01364086988957,7.01364086988957,7.19542989576727,7.19542989576727,7.01364086988957
Cu,21.69358585858586,rGO,83.75,7.115976558475941,7.115976558475941,7.189876811195166,7.189876811195166,7.115976558475941
Zn,21.70344827586207,CeO2,79.73058823529414,7.000354836179636,7.000354836179636,7.116117267668243,7.116117267668243,7.000354836179636
Zr,20.0,CeO2,79.73058823529414,7.000354836179636,7.000354836179636,7.116117267668243,7.116117267668243,7.000354836179636
NiGa,20.0,ZrO2-CeO2,80.0,7.00772894136957,7.00772894136957,7.11205146922388,7.11205146922388,7.00772894136957
Cu,21.69358585858586,MnO,80.0,6.93165552970842,6.93165552970842,7.083022280451035,7.083022280451035,6.93165552970842
Mg,0.7000000000000001,Al2O3,56.67370689655172,6.907655278642799,6.9076552786428,7.047173338642802,7.047173338642802,6.907655278642799
Cu,21.69358585858586,ZrO2-CeO2,80.0,6.962377533708421,6.962377533708421,7.036277786427646,7.036277786427646,6.962377533708421
NiGa,20.0,CeO2,79.73058823529414,6.911868055699635,6.911868055699635,7.027630487188243,7.027630487188243,6.911868055699635
Zn,21.70344827586207,Ga2O3,80.0,6.906817244659636,6.906817244659636,7.022579676148244,7.022579676148244,6.906817244659636
Zr,20.0,Ga2O3,80.0,6.906817244659635,6.906817244659636,7.022579676148244,7.022579676148244,6.906817244659635
